150,150
151,151
152,152
150,152
151,153
151,154
149,150
153,153
153,154
154,153
155,152
154,155
156,152
157,152
158,151
158,153
149,153
148,153
147,153
159,153
146,154
149,149
146,155
155,155
151,155
155,151
154,156
150,149
145,155
144,154
143,155
160,152
159,154
142,154
142,156
159,155
160,156
161,157
160,158
143,157
142,153
153,157
160,159
161,157
162,156
142,158
152,158
151,158
163,156
158,156
141,159
164,157
155,150
161,159
143,159
140,160
164,157
163,158
139,161
138,162
164,158
160,159
142,155
164,155
147,155
147,156
156,150
140,161
144,159
141,162
163,159
137,163
165,154
165,159
152,159
165,160
166,161
153,160
136,163
166,162
166,158
143,160
148,148
136,162
144,161
166,155
167,163
151,160
135,164
166,153
153,152
136,165
165,152
168,163
135,166
145,161
147,148
141,162
154,160
167,152
134,167
144,162
140,163
133,166
139,164
146,162
145,153
163,160
161,160
152,161
148,152
150,148
134,168
166,164
168,163
148,147
135,167
135,168
165,164
153,161
142,152
164,164
132,165
164,165
165,164
141,164
143,163
155,161
157,153
139,165
132,166
151,162
163,165
167,165
141,165
169,163
152,163
131,165
131,167
166,158
138,166
151,164
136,169
142,163
159,158
163,166
138,167
136,170
139,168
135,171
164,167
130,168
165,168
168,153
130,165
137,169
156,160
139,169
168,151
164,169
170,164
171,165
171,166
147,162
146,148
129,168
153,162
144,152
166,167
162,166
131,169
171,167
163,170
148,146
135,172
135,161
136,173
150,165
144,164
130,164
143,164
137,173
129,163
139,170
169,150
164,171
129,169
128,164
136,173
138,173
172,168
173,169
128,170
140,171
149,164
163,171
141,172
145,165
161,167
162,171
168,149
165,162
128,169
160,151
168,163
161,168
172,169
164,151
139,174
168,148
144,166
173,169
172,170
145,166
151,166
161,170
167,147
161,172
167,168
141,151
134,172
133,173
165,170
132,173
134,173
131,174
127,171
152,166
130,174
164,172
127,163
140,174
127,169
154,161
161,173
168,169
172,164
168,170
126,168
165,171
173,169
145,147
126,172
130,174
171,171
146,163
138,174
125,167
163,173
160,173
135,174
142,166
164,173
129,175
141,175
134,174
128,176
165,174
151,149
127,175
165,175
141,175
126,174
142,175
140,176
125,169
172,172
